ts,uptime_s,role,frames_total,kernel_drops,last_frame_age_s
1776114843,1239.2951075519995,brio-synths,37130.0,0.0,0.0148931449984957
1776114848,1244.2982116860003,brio-operator,34795.0,0.0,0.013197206000768347
1776114848,1244.2982116860003,c920-desk,37323.0,0.0,0.030793650999839883
1776114848,1244.2982116860003,c920-room,37307.0,0.0,0.024436391000563162
1776114848,1244.2982116860003,c920-overhead,37312.0,0.0,0.01858741599971836
1776114848,1244.2982116860003,brio-room,37277.0,0.0,0.019201523000447196
1776114848,1244.2982116860003,brio-synths,37281.0,0.0,0.020602427999619977
1776114853,1249.2996476160006,brio-operator,34936.0,0.0,0.01726265199977206
1776114853,1249.2996476160006,c920-desk,37473.0,0.0,0.0011111130006611347
1776114853,1249.2996476160006,c920-room,37458.0,0.0,0.030933383000956383
1776114853,1249.2996476160006,c920-overhead,37463.0,0.0,0.021806782000567182
1776114853,1249.2996476160006,brio-room,37428.0,0.0,0.021439328000269597
1776114853,1249.2996476160006,brio-synths,37432.0,0.0,0.023374010001134593
1776114858,1254.3027172170005,brio-operator,35077.0,0.0,0.020389655999679235
1776114858,1254.3027172170005,c920-desk,37624.0,0.0,0.004277107000234537
1776114858,1254.3027172170005,c920-room,37609.0,0.0,0.0009699510010250378
1776114858,1254.3027172170005,c920-overhead,37614.0,0.0,0.0212589550010307
1776114858,1254.3027172170005,brio-room,37578.0,0.0,0.021413947000837652
1776114858,1254.3027172170005,brio-synths,37582.0,0.0,0.021665440001015668
1776114863,1259.30470882,brio-operator,35217.0,0.0,0.023781284000506275
1776114863,1259.30470882,c920-desk,37774.0,0.0,0.00480180299928179
1776114863,1259.30470882,c920-room,37759.0,0.0,0.0003170340005453909
1776114863,1259.30470882,c920-overhead,37764.0,0.0,0.027124730999275926
1776114863,1259.30470882,brio-room,37729.0,0.0,0.026193350000539795
1776114863,1259.30470882,brio-synths,37733.0,0.0,0.02803249099997629
1776114868,1264.3093655369994,brio-operator,35359.0,0.0,0.02539622199947189
1776114868,1264.3093655369994,c920-desk,37926.0,0.0,0.008795957999609527
